id	url	page
a428e5fa110734e0ad00bca3b32bb469	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230319mfascdprk	9
8b721b0e80c534c9bca6bfc757513922	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/230318psvm	9
4f92840435be3793a7aa270c53be2f7b	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230316-SILR	9
068af27b382d31809df3c5490e9c0c9c	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230315-ASEF	9
4510e2e1fb2c3060acf4b536ed3af8d7	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230315-FIS	9
9647fabf86d4354ea5abe4e1fa1c7164	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/230314smst	10
4625d54c23af39599b31154d53acb46c	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/230313mjv	10
60b5d780cf573bbaa471c579d0413550	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230311-Congrats-Letter-Li-Qiang	10
c1259bbb7d0736d4967e9f87cd20c495	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230310-RISING-Fellowship	10
9b05927a6b6a38e7ba2bea6f1e2d7b7f	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230310-Romania-State-Visit	10
23cd621fa386377aaafc3dbc4ae09f95	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230310-Congrats-Letter-XJP	11
c69787dd7fe53a348a9a32695cdc818e	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230309-Romania-State-Visit	11
e7e403a1f4ee3c4e83367288d160b533	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230308-ACJF	11
61b1ed746ad43f04a8f6b95677c643d3	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230306-LDC5	11
7ad93587037331c88a0bdbf0c635a1e6	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230306-Congratulatory-Letters-to-Vietnam-President	11
6ae1c6d6453e36258e7d6a451dd533f7	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/20230306-FM-Bloomberg-Interview	12
0b1c858297bd308386387aa9a00208c7	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/RF	12
2d121677fa2d3d2189dbc817cdb8d342	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/BBNJ	12
8228dcadb1573dd38f4b992d9b49ee90	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/LDC5	12
43fa9e705ba73238aa00cb78c8f9ee39	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/G20-Meetings-030323	12
48f445c3612b3cbcb772bcdb5017c7bf	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/G20-2023-Meetings	13
f367c077fe863060b68260ac74a83f06	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/SM-Teo-Jakarta-2023	13
4c1ecba7f34638aa832249e32b38c362	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/03/SEAA020323	13
76cfa4565fb3386ea1c226d85e0e27c5	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/G20-2023	13
27493f7a11f73079b2b671a79603dfc4	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/CNA270223	13
de202441d79937cf9a41da8c4020cbf4	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/SQs-COS-2023	14
f5efd4e253f8351e9873fec5c9dc6ed0	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/SMS-COS-2023	14
379d3aca59933fd6bc91ebba8e7f1baa	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/2Min-COS-2023	14
b868aa6af4923729b2f9c8240afaa23f	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/Min-COS-2023	14
64c71be517fc3c5f979731dfd38466d3	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/Jakarta-270223	14
d91278fdb00b3265ae5b4b8585e72680	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/PNGPQ240223	15
39f3d960222e3f7ab83a3958b5e63db7	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/TRSY240223	15
3862d52631343e058a0a40bf09c735e4	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/CACOP220223	15
f6aae17935873a0ca39a689cef4c41ad	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/PRCFMV0223DI	15
e7d96ed27dc03744ad83020748c01780	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/PRCFMV210223	15
7da0dd4e70cc3496a9f78fc31b1892b1	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/LHLNM210223	16
dbf8e8c72c3f355388175e077bcc2dcc	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/DPRK210223	16
fbec7e420f5e3ffbb8946edf70130a06	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/PRCFMV200223	16
c53b57de5e2f328397d2a1bc07135b27	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230218-China-PMOV	16
ae7d9038316b3c0b9d0f7aa74aa400c8	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230214-PQ	16
4f9ef560c7a33974a0408f8e9480c24b	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230214-POC	17
f13d257a98af31089331d52647c56fc1	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230214-SRNF	17
005465585eca3f33949ec9fbe20d5891	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230213-9th-HCG-Meeting	17
5a83fbf64d8b38b1abf853c1d06c96ca	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230212-9th-HCG-Meeting	17
a96303eb90a933f28d19bcd18da2ecec	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230212-Johor-MB-Working-Visit	17
fe868ad831ac34118bfc7b0d90d58c17	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230210-SMS-Eighth-Bali-Process	18
28af34a2590d3c11b9541b3b610d0c6a	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230209-Vietnam-PMV	18
54589853411d3793b0c6b5e9e49fae50	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230208-El-Salvador-FMV	18
5183a3dc90f43016b9d23e58e8d1aa96	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230208-Eighth-Bali-Process-Ministerial-Conference	18
399ffc8919ea39aeb6f06bf968c97617	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230207-Brunei-SRNF-Visit	18
23632b895b0b39c68b02f2cd28f52e6c	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230207-VNA-Interview	19
b6c5aa8b760d3c39903aee775952ab3f	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230207-Vietnam-Prime-Minister-Visit	19
a3fea2fa43f63936827c3474b0a0258f	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230206-PQ-Measures-to-Help-Singaporeans	19
3c8e5d3935023f52ba987d87cb9da081	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/20230206-Condolence-Letters	19
47c37e057d603441b197b77fbb6a91b7	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/AFMRDI0402	19
0db40b3e36e23673bc07f3c3f2fc44e4	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/AFMR0402223	20
33a5677ad4c63c83aa70d44099b60f18	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/16afc	20
cfc466fd857932e6b9f95958bedfcea1	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/02/020223AFMR	20
963467c804bf34f8baa0ea6cb8a69f6b	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/01/MY300123	20
2cc320e1015c3fc7927b96add8a79185	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/01/230129hcglp	20
d8773da80f7e365e9717fcf4e28bfbb6	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/01/230129pmmai	21
2d86dfe58bc33c7ca1425bcb563f266f	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/01/230129sjwb	21
00805aae5d2a32e38e74237ac7cef759	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/01/Norway-2023	21
e3e06cf6b9d83dcca6f04009181f3794	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/01/Congrats-NZ-PM	21
edb3a9e8696a39de9d26562183bcfead	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/01/230119tspfg	21
c06e3d815f653b23b66ed043c7abe75e	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/01/230118dpmbv	22
41935cb09db230678af3c9bba197c138	https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2023/01/230117dsikl	22
